
0, 2458
10000, 76279625
20000, 516930416
30000, 1381342500
40000, 2593280042
50000, 4219792625
60000, 6206949250
70000, 8571978500
80000, 11357967625
90000, 14499331666
100000, 17918258583
110000, 21787483917
120000, 25993024708
130000, 30788070417
140000, 35813096083
150000, 41192704583
160000, 47269328875
170000, 53230168000
180000, 60236228833
190000, 67013257333
200000, 74208051625
210000, 81945365625
220000, 89843482083
230000, 98845023708
240000, 107330647042
250000, 116372893166
260000, 126188664708
270000, 136402173125
280000, 147124525875
290000, 157900572000
300000, 169138653208
310000, 180375777750
320000, 192995714250
330000, 204616552708
340000, 217288324042
350000, 244426936125
360000, 247400208542
370000, 263120542000
380000, 277108646791
390000, 289466980500
400000, 303896489958
410000, 319417752666
420000, 335993809166
430000, 349574032792
440000, 367423843792
450000, 384079918792
460000, 403034577209
470000, 418412635625
480000, 435660300375
490000, 454178052417
500000, 473143404041
