0, 2125
10000, 83540292
20000, 563342000
30000, 1370531041
40000, 2596734250
50000, 4199852042
60000, 6171286583
70000, 8576922583
80000, 11271147458
90000, 14335459042
100000, 18377269666
110000, 22313930542
120000, 26605926542
130000, 31385555375
140000, 36423103875
150000, 41907280166
160000, 47978553125
170000, 54077659666
180000, 60516990042
190000, 67816916209
200000, 75459948709
210000, 83038969084
220000, 91043925875
230000, 99682308416
240000, 110445633584
250000, 118587297458
260000, 130107603875
270000, 138543770375
280000, 148863416250
290000, 159631553208
300000, 171206393500
310000, 183209914250
320000, 194827359625
330000, 207588317625
340000, 220259813667
350000, 234090465291
360000, 247599335292
370000, 261546046083
380000, 276131976459
390000, 289829155500
400000, 305679095167
410000, 320956406042
420000, 337939026083
430000, 353740296125
440000, 370478254459
450000, 387697427959
460000, 405383933208
470000, 423412247458
480000, 441790005500
490000, 460402664083
500000, 479239457584
